s,ch1,ch2,ch3,ch4
1.4432183908045977,-117.9816624,86.06511551,145.07864441,-87.9747833
1.4516091954022987,-125.98349683,61.05938292,154.08070814,-47.96561116
1.46,-135.98578987,22.05044008,145.07864441,0.04539541
1.468390804597701,-114.98097449,-13.95781484,118.07245322,49.05663128
1.4767816091954022,-79.97294887,-46.96538186,78.06328108,94.06694993
1.4851724137931033,-31.9619423,-77.97249026,23.05066939,140.07749789
1.4935632183908045,18.04952287,-95.97661773,-25.96056648,155.08093745
1.5019540229885056,67.06075874,-102.97822285,-74.97180235,150.07979093
1.5103448275862068,101.06855506,-100.97776424,-110.98005728,133.07589277
1.518735632183908,131.07543416,-79.97294887,-135.98578987,97.06763784
1.527126436781609,141.0777272,-46.96538186,-139.98670708,61.05938292
1.5355172413793103,138.07703929,-13.95781484,-127.98395544,5.04654192
1.5439080459770114,114.071536,20.04998148,-98.97730564,-39.96377673
1.5522988505747126,84.0646569,62.05961222,-55.96744559,-87.9747833
1.5606896551724136,30.05227451,89.06580342,-7.95643902,-111.98028658
1.569080459770115,-8.95666832,110.07061879,44.05548476,-127.98395544
1.577471264367816,-55.96744559,114.071536,86.06511551,-126.98372613
1.5858620689655172,-94.97638842,104.06924297,120.07291182,-107.97936937
1.5942528735632182,-118.98189171,79.06351038,136.07658068,-80.97317817
1.6026436781609195,-126.98372613,46.05594337,139.07726859,-27.96102509
1.6110344827586207,-115.9812038,11.04791775,123.07359973,17.04929357
1.6194252873563217,-88.9750126,-19.95919066,95.06717924,63.05984153
1.627816091954023,-54.96721628,-52.96675768,52.05731919,99.06809645
1.636206896551724,-11.95735623,-79.97294887,9.04745914,124.07382904
1.6445977011494253,31.05250381,-90.97547121,-37.96331813,141.0777272
1.6529885057471263,75.06259317,-93.97615912,-75.97203166,130.07520486
1.6613793103448276,102.06878436,-78.97271957,-104.97868146,106.06970158
1.6697701149425286,125.07405834,-52.96675768,-119.98212101,78.06328108
1.6781609195402298,127.07451695,-22.95987857,-118.98189171,28.0518159
1.6865517241379309,113.0713067,6.04677123,-100.97776424,-16.95850275
1.6949425287356321,90.06603272,42.05502615,-68.97042653,-57.96790419
1.7033333333333331,52.05731919,70.06144665,-27.96102509,-92.97592982
1.7117241379310344,7.04700053,86.06511551,14.04860566,-108.97959867
1.7201149425287356,-28.96125439,97.06763784,56.0582364,-114.98097449
1.7285057471264367,-68.97042653,93.06672063,92.06649133,-102.97822285
1.736896551724138,-98.97730564,75.06259317,117.07222391,-80.97317817
1.745287356321839,-108.97959867,52.05731919,126.07428764,-47.96561116
1.7536781609195402,-109.97982798,19.04975217,122.07337043,-2.9552925
1.7620689655172412,-93.97615912,-6.95620972,102.06878436,35.05342103
1.7704597701149425,-71.97111444,-34.96263021,71.06167595,77.06305177
1.7788505747126435,-27.96102509,-61.96882141,30.05227451,95.06717924
1.7872413793103448,9.04745914,-76.97226096,-10.95712693,116.07199461
1.7956321839080458,48.05640197,-81.97340748,-51.96652837,114.071536
1.804022988505747,82.06419829,-69.97065584,-83.97386608,103.06901366
1.812413793103448,106.06970158,-57.96790419,-102.97822285,79.06351038
1.8208045977011493,117.07222391,-33.96240091,-109.97982798,45.05571406
1.8291954022988506,110.07061879,-5.95598041,-101.97799355,3.04608332
1.8375862068965516,93.06672063,22.05044008,-79.97294887,-29.9614837
1.8459770114942529,64.06007083,49.05663128,-47.96561116,-65.96973862
1.854367816091954,22.05044008,76.06282247,-6.95620972,-85.97432469
1.8627586206896551,-8.95666832,88.06557411,31.05250381,-95.97661773
1.8711494252873562,-45.96515255,87.06534481,67.06075874,-95.97661773
1.8795402298850574,-74.97180235,80.06373968,94.06694993,-80.97317817
1.8879310344827585,-90.97547121,60.05915362,109.07038949,-57.96790419
1.8963218390804597,-92.97592982,33.05296242,110.07061879,-14.95804415
1.9047126436781607,-82.97363678,4.04631262,97.06763784,15.04883496
1.913103448275862,-63.96928002,-20.95941997,74.06236386,48.05640197
1.921494252873563,-35.96285952,-48.96584046,44.05548476,70.06144665
1.9298850574712643,-3.95552181,-66.96996793,6.04677123,85.0648862
1.9382758620689655,28.0518159,-77.97249026,-28.96125439,88.06557411
1.9466666666666665,61.05938292,-76.97226096,-57.96790419,85.0648862
1.9550574712643678,80.06373968,-67.97019723,-81.97340748,74.06236386
1.9634482758620688,94.06694993,-42.96446464,-91.97570051,50.05686058
1.97183908045977,93.06672063,-15.95827345,-88.9750126,22.05044008
1.980229885057471,84.0646569,11.04791775,-76.97226096,-7.95643902
1.9886206896551724,63.05984153,42.05502615,-52.96675768,-31.9619423
1.9970114942528734,42.05502615,61.05938292,-22.95987857,-60.9685921
2.0054022988505746,10.04768844,76.06282247,11.04791775,-74.97180235
2.013793103448276,-19.95919066,81.06396899,40.05456755,-75.97203166
2.0221839080459767,-48.96584046,78.06328108,65.06030013,-71.97111444
2.030574712643678,-63.96928002,65.06030013,81.06396899,-53.96698698
2.038965517241379,-73.97157305,47.05617267,89.06580342,-31.9619423
2.0473563218390805,-74.97180235,17.04929357,85.0648862,-0.9548339
2.0557471264367817,-65.96973862,-7.95643902,69.06121735,21.05021078
2.0641379310344825,-45.96515255,-31.9619423,48.05640197,48.05640197
2.0725287356321838,-18.95896136,-49.96606977,20.04998148,62.05961222
2.080919540229885,9.04745914,-61.96882141,-7.95643902,74.06236386
2.0893103448275863,37.05387964,-57.96790419,-32.96217161,72.06190526
2.097701149425287,54.05777779,-59.9683628,-53.96698698,63.05984153
2.1060919540229883,70.06144665,-45.96515255,-65.96973862,54.05777779
2.1144827586206896,74.06236386,-22.95987857,-69.97065584,26.0513573
2.122873563218391,75.06259317,0.04539541,-64.96950932,3.04608332
2.1312643678160916,61.05938292,17.04929357,-50.96629907,-16.95850275
2.139655172413793,44.05548476,45.05571406,-30.961713,-39.96377673
2.148045977011494,19.04975217,61.05938292,-5.95598041,-53.96698698
2.1564367816091954,-6.95620972,66.06052944,19.04975217,-59.9683628
2.1648275862068966,-29.9614837,66.06052944,43.05525546,-56.96767489
2.1732183908045974,-49.96606977,55.0580071,62.05961222,-44.96492325
2.1816091954022987,-60.9685921,46.05594337,74.06236386,-27.96102509
2.19,-60.9685921,22.05044008,76.06282247,-13.95781484
2.198390804597701,-55.96744559,2.04585401,68.06098804,8.04722983
2.206781609195402,-47.96561116,-15.95827345,53.05754849,23.05066939
2.2151724137931033,-26.96079579,-33.96240091,35.05342103,46.05594337
2.2235632183908045,-1.9550632,-43.96469395,12.04814705,56.0582364
2.2319540229885058,18.04952287,-55.96744559,-12.95758554,61.05938292
2.2403448275862066,43.05525546,-50.96629907,-35.96285952,61.05938292
2.248735632183908,54.05777779,-45.96515255,-47.96561116,50.05686058
2.257126436781609,63.05984153,-27.96102509,-56.96767489,34.05319173
2.2655172413793103,59.05892431,-10.95712693,-56.96767489,17.04929357
2.2739080459770116,55.0580071,10.04768844,-50.96629907,1.04562471
2.2822988505747124,41.05479685,25.05112799,-36.96308882,-18.95896136
2.2906896551724136,28.0518159,41.05479685,-15.95827345,-29.9614837
2.299080459770115,6.04677123,53.05754849,1.04562471,-44.96492325
2.307471264367816,-7.95643902,58.05869501,23.05066939,-47.96561116
2.315862068965517,-24.96033718,53.05754849,43.05525546,-40.96400604
2.324252873563218,-32.96217161,38.05410894,53.05754849,-31.9619423
2.3326436781609194,-37.96331813,27.0515866,59.05892431,-18.95896136
2.3410344827586207,-37.96331813,11.04791775,56.0582364,-2.9552925
2.3494252873563215,-36.96308882,-2.9552925,51.05708988,9.04745914
2.3578160919540228,-26.96079579,-17.95873206,41.05479685,23.05066939
2.366206896551724,-10.95712693,-30.961713,22.05044008,38.05410894
2.3745977011494253,2.04585401,-37.96331813,4.04631262,47.05617267
2.3829885057471265,18.04952287,-32.96217161,-14.95804415,53.05754849
2.3913793103448273,34.05319173,-38.96354743,-28.96125439,48.05640197
2.3997701149425286,46.05594337,-27.96102509,-37.96331813,38.05410894
2.40816091954023,46.05594337,-15.95827345,-42.96446464,24.05089869
2.416551724137931,48.05640197,1.04562471,-38.96354743,9.04745914
2.424942528735632,47.05617267,12.04814705,-33.96240091,-3.95552181
2.433333333333333,35.05342103,27.0515866,-21.95964927,-17.95873206
2.4417241379310344,17.04929357,36.05365033,-8.95666832,-26.96079579
2.4501149425287356,4.04631262,43.05525546,5.04654192,-32.96217161
2.4585057471264364,-7.95643902,43.05525546,20.04998148,-31.9619423
2.4668965517241377,-20.95941997,37.05387964,30.05227451,-30.961713
2.475287356321839,-23.96010788,34.05319173,39.05433824,-25.96056648
2.48367816091954,-33.96240091,20.04998148,46.05594337,-14.95804415
2.4920689655172414,-27.96102509,5.04654192,41.05479685,-1.9550632
2.5004597701149422,-25.96056648,-4.95575111,40.05456755,10.04768844
2.5088505747126435,-17.95873206,-17.95873206,28.0518159,23.05066939
2.5172413793103448,-4.95575111,-26.96079579,17.04929357,33.05296242
2.525632183908046,3.04608332,-27.96102509,4.04631262,40.05456755
2.534022988505747,12.04814705,-33.96240091,-7.95643902,42.05502615
2.542413793103448,22.05044008,-27.96102509,-17.95873206,39.05433824
2.5508045977011493,32.05273312,-17.95873206,-23.96010788,34.05319173
2.5591954022988506,34.05319173,-11.95735623,-29.9614837,23.05066939
2.5675862068965514,33.05296242,3.04608332,-28.96125439,13.04837635
2.5759770114942526,34.05319173,13.04837635,-24.96033718,0.04539541
2.584367816091954,26.0513573,19.04975217,-15.95827345,-8.95666832
2.592758620689655,17.04929357,29.05204521,-5.95598041,-16.95850275
2.6011494252873564,4.04631262,39.05433824,3.04608332,-25.96056648
2.609540229885057,-4.95575111,35.05342103,14.04860566,-23.96010788
2.6179310344827584,-9.95689763,30.05227451,23.05066939,-20.95941997
2.6263218390804597,-15.95827345,27.0515866,28.0518159,-18.95896136
2.634712643678161,-22.95987857,16.04906426,34.05319173,-10.95712693
2.6431034482758617,-23.96010788,6.04677123,32.05273312,-2.9552925
2.651494252873563,-26.96079579,0.04539541,30.05227451,6.04677123
2.6598850574712642,-16.95850275,-7.95643902,27.0515866,16.04906426
2.6682758620689655,-7.95643902,-12.95758554,18.04952287,22.05044008
2.6766666666666663,-2.9552925,-15.95827345,8.04722983,29.05204521
2.6850574712643676,7.04700053,-19.95919066,0.04539541,28.0518159
2.693448275862069,16.04906426,-21.95964927,-8.95666832,31.05250381
2.70183908045977,20.04998148,-9.95689763,-13.95781484,25.05112799
2.7102298850574713,27.0515866,-7.95643902,-19.95919066,22.05044008
2.718620689655172,32.05273312,-1.9550632,-20.95941997,13.04837635
2.7270114942528734,23.05066939,6.04677123,-17.95873206,6.04677123
2.7354022988505746,26.0513573,16.04906426,-15.95827345,-0.9548339
2.743793103448276,21.05021078,27.0515866,-9.95689763,-7.95643902
2.7521839080459767,11.04791775,25.05112799,-1.9550632,-13.95781484
2.760574712643678,3.04608332,27.0515866,5.04654192,-17.95873206
2.768965517241379,-2.9552925,25.05112799,15.04883496,-17.95873206
2.7773563218390804,-8.95666832,19.04975217,21.05021078,-15.95827345
2.7857471264367812,-10.95712693,19.04975217,27.0515866,-12.95758554
2.7941379310344825,-15.95827345,11.04791775,27.0515866,-7.95643902
2.8025287356321837,-17.95873206,6.04677123,29.05204521,-1.9550632
2.810919540229885,-14.95804415,-1.9550632,27.0515866,7.04700053
2.8193103448275862,-10.95712693,-8.95666832,21.05021078,12.04814705
2.827701149425287,-5.95598041,-13.95781484,16.04906426,20.04998148
2.8360919540229883,-0.9548339,-15.95827345,11.04791775,24.05089869
2.8444827586206896,8.04722983,-17.95873206,2.04585401,28.0518159
2.852873563218391,12.04814705,-16.95850275,-5.95598041,28.0518159
2.8612643678160916,21.05021078,-12.95758554,-10.95712693,26.0513573
2.869655172413793,21.05021078,-10.95712693,-14.95804415,23.05066939
2.878045977011494,30.05227451,-2.9552925,-17.95873206,17.04929357
2.8864367816091954,27.0515866,3.04608332,-19.95919066,10.04768844
2.894827586206896,31.05250381,9.04745914,-19.95919066,2.04585401
2.9032183908045974,24.05089869,15.04883496,-13.95781484,-0.9548339
2.9116091954022987,12.04814705,20.04998148,-9.95689763,-8.95666832
2.92,9.04745914,14.04860566,-5.95598041,-9.95689763
